,titles,year,imdb_ratings,text_muted1,text_muted2,text_muted3,meta_scores,director,stars
2579,Ill Manors,(2012),7.1,"
121 min
|

Crime, Drama, Music            
","
The lives of four drug dealers, one user, and two prostitutes are explored.","
Votes:
10,922
",,['Plan B'],"['Riz Ahmed', 'Sliem Ben-Salah', 'Ed Skrein', 'Lee Allen']"
2580,The Spectacular Now,(2013),7.1,"
R
|
95 min
|

Drama, Romance            
","
A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""","
Votes:
154,260
| Gross:
$6.85M
",82        ,['James Ponsoldt'],"['Miles Teller', 'Shailene Woodley', 'Kyle Chandler', 'Jennifer Jason Leigh']"
2581,Snowpiercer,(2013),7.1,"
15
|
126 min
|

Action, Sci-Fi, Thriller            
","
In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.","
Votes:
359,638
| Gross:
$4.56M
",84        ,['Bong Joon Ho'],"['Chris Evans', 'Jamie Bell', 'Tilda Swinton', 'Ed Harris']"
2582,Carnage,(2011),7.1,"
R
|
80 min
|

Comedy, Drama            
","
Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.","
Votes:
127,229
| Gross:
$2.55M
",61        ,['Roman Polanski'],"['Jodie Foster', 'Kate Winslet', 'Christoph Waltz', 'John C. Reilly']"
2583,Hannah Arendt,(2012),7.1,"
113 min
|

Biography, Drama            
","
A look at the life of philosopher and political theorist Hannah Arendt, who reported for 'The New Yorker' on the trial of the Nazi leader Adolf Eichmann in Jerusalem.","
Votes:
11,427
| Gross:
$0.71M
",69        ,['Margarethe von Trotta'],"['Barbara Sukowa', 'Axel Milberg', 'Janet McTeer', 'Julia Jentsch']"
2584,Goodbye Christopher Robin,(2017),7.1,"
PG
|
107 min
|

Biography, Drama, Family            
","
The relationship between writer AA Milne and his son, Christopher Robin, and how this became the inspiration for Winnie the Pooh.","
Votes:
27,715
| Gross:
$1.74M
",54        ,['Simon Curtis'],"['Domhnall Gleeson', 'Margot Robbie', 'Kelly Macdonald', 'Vicki Pepperdine']"
2585,Le nom des gens,(2010),7.1,"
R
|
100 min
|

Comedy, Drama, Romance            
","
A young, extroverted left-wing activist who sleeps with her political opponents to convert them to her cause is successful until she meets her match.","
Votes:
7,963
| Gross:
$0.51M
",62        ,['Michel Leclerc'],"['Sara Forestier', 'Jacques Gamblin', 'Zinedine Soualem', 'Carole Franck']"
2586,"Love, Rosie",(2014),7.1,"
15
|
102 min
|

Comedy, Romance            
","
Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies.","
Votes:
140,680
| Gross:
$0.02M
",44        ,['Christian Ditter'],"['Lily Collins', 'Sam Claflin', 'Christian Cooke', 'Jaime Winstone']"
2587,Chasing Mavericks,(2012),7.1,"
PG
|
116 min
|

Biography, Drama, Sport            
","
When young Jay Moriarity discovers that the mythic Mavericks surf break, one of the biggest waves on Earth, exists just miles from his Santa Cruz home, he enlists the help of local legend Frosty Hesson to train him to survive it.","
Votes:
33,055
| Gross:
$6.00M
",45        ,"['Michael Apted', 'Curtis Hanson']","['Jonny Weston', 'Gerard Butler', 'Elisabeth Shue', 'Abigail Spencer']"
2588,"Noordzee, Texas",(2011),7.1,"
98 min
|

Drama, Romance            
","
A teenage boy's search for love finds him fixated on a boy who lives nearby.","
Votes:
9,306
| Gross:
$0.03M
",63        ,['Bavo Defurne'],"['Ben Van den Heuvel', 'Eva van der Gucht', 'Thomas Coumans', 'Katelijne Damen']"
2589,Margin Call,(2011),7.1,"
R
|
107 min
|

Drama, Thriller            
","
Follows the key people at an investment bank over a 24-hour period during the early stages of the 2008 financial crisis.","
Votes:
131,590
| Gross:
$5.35M
",76        ,['J.C. Chandor'],"['Zachary Quinto', 'Stanley Tucci', 'Kevin Spacey', 'Paul Bettany']"
2590,Win Win,(2011),7.1,"
R
|
106 min
|

Comedy, Drama, Sport            
","
A struggling lawyer and volunteer wrestling coach's chicanery comes back to haunt him when the teenage grandson of the client he has double-crossed comes into his life.","
Votes:
54,038
| Gross:
$10.18M
",75        ,['Tom McCarthy'],"['Paul Giamatti', 'Amy Ryan', 'Jeffrey Tambor', 'Bobby Cannavale']"
2591,Les amours imaginaires,(2010),7.1,"
101 min
|

Drama, Romance            
","
The story of three close friends who are involved in a love-triangle.","
Votes:
29,269
| Gross:
$0.06M
",70        ,['Xavier Dolan'],"['Xavier Dolan', 'Monia Chokri', 'Niels Schneider', 'Anne Dorval']"
2592,The Master,(2012),7.1,"
R
|
138 min
|

Drama            
","
A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by the Cause and its charismatic leader.","
Votes:
174,663
| Gross:
$16.38M
",86        ,['Paul Thomas Anderson'],"['Joaquin Phoenix', 'Philip Seymour Hoffman', 'Amy Adams', 'Jesse Plemons']"
2593,Melancholia,(2011),7.1,"
R
|
135 min
|

Drama, Sci-Fi            
","
Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.","
Votes:
182,947
| Gross:
$3.03M
",80        ,['Lars von Trier'],"['Kirsten Dunst', 'Charlotte Gainsbourg', 'Kiefer Sutherland', 'Alexander Skarsgård']"
2594,Booksmart,(2019),7.1,"
R
|
102 min
|

Comedy            
","
On the eve of their high-school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.","
Votes:
118,380
| Gross:
$22.68M
",84        ,['Olivia Wilde'],"['Kaitlyn Dever', 'Beanie Feldstein', 'Jessica Williams', 'Jason Sudeikis']"
2595,Winnie the Pooh,(2011),7.1,"
63 min
|

Animation, Adventure, Comedy            
","
While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson.","
Votes:
25,443
| Gross:
$26.69M
",74        ,"['Stephen J. Anderson', 'Don Hall']","['Jim Cummings', 'Craig Ferguson', 'John Cleese', 'Bud Luckey']"
2596,"Batman: The Long Halloween, Part Two",(2021),7.1,"
R
|
87 min
|

Animation, Action, Crime            
","
The killer known as Holiday continues to stalk the Falcone crime family while a new class of costumed criminal rises in Gotham City. Batman suspects that a former ally might be the serial killer.","
Votes:
13,300
",,['Chris Palmer'],"['Jensen Ackles', 'Josh Duhamel', 'Naya Rivera', 'Troy Baker']"
2597,Arthur Christmas,(2011),7.1,"
PG
|
97 min
|

Animation, Adventure, Comedy            
","
Santa's clumsy son Arthur sets out on a mission with Grandsanta to give out a present they misplaced to a young girl in less than two hours.","
Votes:
59,100
| Gross:
$46.46M
",69        ,"['Sarah Smith', 'Barry Cook']","['James McAvoy', 'Jim Broadbent', 'Bill Nighy', 'Hugh Laurie']"
2598,The Outfit,(2022),7.1,"
R
|
105 min
|

Crime, Drama, Mystery            
","
An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.","
Votes:
35,927
",69        ,['Graham Moore'],"['Mark Rylance', 'Zoey Deutch', 'John Gumley-Mason', 'Stephen Knox']"
2599,Remember Me,(I) (2010),7.1,"
PG-13
|
113 min
|

Drama, Romance            
","
A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder.","
Votes:
147,715
| Gross:
$19.07M
",40        ,['Allen Coulter'],"['Robert Pattinson', 'Emilie de Ravin', 'Caitlyn Rund', 'Moisés Acevedo']"
2600,Winter's Bone,(2010),7.1,"
R
|
100 min
|

Drama, Mystery            
","
An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.","
Votes:
143,527
| Gross:
$6.53M
",90        ,['Debra Granik'],"['Jennifer Lawrence', 'John Hawkes', 'Garret Dillahunt', 'Isaiah Stone']"
2601,We Bought a Zoo,(2011),7.1,"
PG
|
124 min
|

Comedy, Drama, Family            
","
Set in Southern California, a father moves his young family to the countryside to renovate and re-open a struggling zoo.","
Votes:
144,067
| Gross:
$75.62M
",58        ,['Cameron Crowe'],"['Matt Damon', 'Scarlett Johansson', 'Thomas Haden Church', 'Elle Fanning']"
2602,Made in Dagenham,(2010),7.1,"
R
|
113 min
|

Biography, Comedy, Drama            
","
A dramatization of the 1968 strike at the Ford Dagenham car plant, where female workers walked out in protest against sexual discrimination.","
Votes:
15,411
| Gross:
$1.09M
",65        ,['Nigel Cole'],"['Sally Hawkins', 'Bob Hoskins', 'Andrea Riseborough', 'Jaime Winstone']"
2603,Dredd,(2012),7.1,"
18
|
95 min
|

Action, Crime, Sci-Fi            
","
In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.","
Votes:
275,174
| Gross:
$13.41M
",60        ,['Pete Travis'],"['Karl Urban', 'Olivia Thirlby', 'Lena Headey', 'Rachel Wood']"
2604,Never Let Me Go,(2010),7.1,"
R
|
103 min
|

Drama, Romance, Sci-Fi            
","
The lives of three friends, from their early school days into young adulthood, when the reality of the world they live in comes knocking.","
Votes:
146,320
| Gross:
$2.43M
",69        ,['Mark Romanek'],"['Keira Knightley', 'Carey Mulligan', 'Andrew Garfield', 'Izzy Meikle-Small']"
2605,Iron Man Three,(2013),7.1,"
G
|
130 min
|

Action, Adventure, Sci-Fi            
","
When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","
Votes:
843,235
| Gross:
$409.01M
",62        ,['Shane Black'],"['Robert Downey Jr.', 'Guy Pearce', 'Gwyneth Paltrow', 'Don Cheadle']"
2606,Raajneeti,(2010),7.1,"
163 min
|

Crime, Drama, Thriller            
","
Samar, the son of a political family, has chosen to go to the USA to live with his girlfriend. However, the death of his father makes him put his plans on hold and enter the dirty world of politics.","
Votes:
17,851
| Gross:
$1.44M
",,['Prakash Jha'],"['Ajay Devgn', 'Ranbir Kapoor', 'Nana Patekar', 'Katrina Kaif']"
2607,The Devil's Double,(2011),7.1,"
R
|
109 min
|

Biography, Drama, Thriller            
","
A chilling vision of the house of Saddam. The world of Hussein comes to life through the eyes of the man who was given a choice; either be the double for Saddam's sadistic son, or die.","
Votes:
62,318
| Gross:
$1.36M
",52        ,['Lee Tamahori'],"['Dominic Cooper', 'Ludivine Sagnier', 'Raad Rawi', 'Philip Quast']"
2608,Nowhere Boy,(2009),7.1,"
R
|
98 min
|

Biography, Drama, Music            
","
A chronicle of John Lennon's first years, focused mainly in his adolescence and his relationship with his stern aunt Mimi, who raised him, and his absentee mother Julia, who re-entered his life at a crucial moment in his young life.","
Votes:
37,118
| Gross:
$1.45M
",67        ,['Sam Taylor-Johnson'],"['Aaron Taylor-Johnson', 'Kristin Scott Thomas', 'Anne-Marie Duff', 'David Threlfall']"
2609,Looking for Eric,(2009),7.1,"
116 min
|

Comedy, Drama, Fantasy            
","
Eric, a football fanatic postman whose life is descending into crisis, receives some life coaching from the famously philosophical Eric Cantona.","
Votes:
17,255
| Gross:
$0.06M
",66        ,['Ken Loach'],"['Steve Evets', 'Eric Cantona', 'Stephanie Bishop', 'Gerard Kearns']"
2610,Let Me In,(I) (2010),7.1,"
R
|
116 min
|

Drama, Fantasy, Horror            
","
A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.","
Votes:
121,851
| Gross:
$12.13M
",79        ,['Matt Reeves'],"['Kodi Smit-McPhee', 'Chloë Grace Moretz', 'Richard Jenkins', 'Cara Buono']"
2611,A Late Quartet,(2012),7.1,"
R
|
105 min
|

Drama, Music            
","
Members of a world-renowned string quartet struggle to stay together in the face of death, competing egos, and insuppressible lust.","
Votes:
14,729
| Gross:
$1.56M
",67        ,['Yaron Zilberman'],"['Philip Seymour Hoffman', 'Christopher Walken', 'Catherine Keener', 'Mark Ivanir']"
2612,Brave,(2012),7.1,"
PG
|
93 min
|

Animation, Adventure, Comedy            
","
Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.","
Votes:
409,895
| Gross:
$237.28M
",69        ,"['Mark Andrews', 'Brenda Chapman', 'Steve Purcell']","['Kelly Macdonald', 'Billy Connolly', 'Emma Thompson', 'Julie Walters']"
2613,Flickan som lekte med elden,(2009),7.1,"
R
|
129 min
|

Action, Crime, Drama            
","
As computer hacker Lisbeth and journalist Mikael investigate a sex-trafficking ring, Lisbeth is accused of three murders, causing her to go on the run while Mikael works to clear her name.","
Votes:
95,537
| Gross:
$9.08M
",66        ,['Daniel Alfredson'],"['Noomi Rapace', 'Michael Nyqvist', 'Lena Endre', 'Peter Andersson']"
2614,The Muppets,(2011),7.1,"
PG
|
120 min
|

Adventure, Comedy, Family            
","
A Muppet fanatic with some help from his 2 human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.","
Votes:
92,803
| Gross:
$88.63M
",75        ,['James Bobin'],"['Amy Adams', 'Jason Segel', 'Chris Cooper', 'Rashida Jones']"
2615,Agora,(2009),7.1,"
R
|
127 min
|

Adventure, Biography, Drama            
","
A historical drama set in Roman Egypt, concerning a slave who turns to the rising tide of Christianity in the hope of pursuing freedom while falling in love with his mistress, the philosophy and mathematics professor Hypatia of Alexandria.","
Votes:
70,086
| Gross:
$0.62M
",55        ,['Alejandro Amenábar'],"['Rachel Weisz', 'Max Minghella', 'Oscar Isaac', 'Ashraf Barhom']"
2616,Adam,(I) (2009),7.1,"
PG-13
|
99 min
|

Comedy, Drama, Romance            
","
Adam, a lonely man with Asperger's Syndrome, develops a relationship with his upstairs neighbor, Beth.","
Votes:
34,760
| Gross:
$2.28M
",56        ,['Max Mayer'],"['Hugh Dancy', 'Rose Byrne', 'Peter Gallagher', 'Amy Irving']"
2617,Whatever Works,(2009),7.1,"
PG-13
|
93 min
|

Comedy, Romance            
","
A middle-aged, misanthropic divorcé from New York City surprisingly enters a fulfilling, Pygmalion-type relationship with a much younger, unsophisticated Southern girl.","
Votes:
74,431
| Gross:
$5.31M
",45        ,['Woody Allen'],"['Evan Rachel Wood', 'Larry David', 'Henry Cavill', 'Adam Brooks']"
2618,American Underdog,(2021),7.1,"
PG
|
112 min
|

Biography, Drama, Sport            
","
The story of NFL MVP and Hall of Fame quarterback Kurt Warner, who went from stocking shelves at a supermarket to becoming an American Football star.","
Votes:
14,295
",53        ,"['Andrew Erwin', 'Jon Erwin']","['Zachary Levi', 'Anna Paquin', 'Hayden Zaller', ""Ser'Darius Blain""]"
2619,Wendy and Lucy,(2008),7.1,"
R
|
80 min
|

Drama            
","
Over the summer, a series of unfortunate happening triggers a financial crisis for a young woman and she soon finds her life falling apart.","
Votes:
18,540
| Gross:
$0.86M
",80        ,['Kelly Reichardt'],"['Michelle Williams', 'Lucy', 'David Koppell', 'Max Clement']"
2620,Shiva Baby,(2020),7.1,"
77 min
|

Comedy, Drama            
","
At a Jewish funeral service with her parents, a college student runs into her sugar daddy and ex girlfriend.","
Votes:
21,319
",79        ,['Emma Seligman'],"['Rachel Sennott', 'Danny Deferrari', 'Fred Melamed', 'Polly Draper']"
